Input,Approved name
ANAPC15,anaphase promoting complex subunit 15
ZC3H4,zinc finger CCCH-type containing 4
KIAA0087,KIAA0087 lncRNA
BNIPL,BCL2 interacting protein like
MCM10,minichromosome maintenance 10 replication initiation factor
CLEC3B,C-type lectin domain family 3 member B
QPRT,quinolinate phosphoribosyltransferase
MAP4,microtubule associated protein 4
IL12A,interleukin 12A
ATP11C,ATPase phospholipid transporting 11C
TRIOBP,TRIO and F-actin binding protein
NEUROG3,neurogenin 3
MGST1,microsomal glutathione S-transferase 1
DCTN2,dynactin subunit 2
MAVS,mitochondrial antiviral signaling protein
EED,embryonic ectoderm development
HYOU1,hypoxia up-regulated 1
TNIK,TRAF2 and NCK interacting kinase
KRT2,keratin 2
CDC20,cell division cycle 20
MIR138-2,microRNA 138-2
PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
XRCC6,X-ray repair cross complementing 6
CR2,complement C3d receptor 2
CKMT1B,"creatine kinase, mitochondrial 1B"
COPG2,COPI coat complex subunit gamma 2
GOLGA2P5,GOLGA2 pseudogene 5
PNPLA6,patatin like phospholipase domain containing 6
KMT2D,lysine methyltransferase 2D
CTCF,CCCTC-binding factor
SIRT6,sirtuin 6
RPS6KA6,ribosomal protein S6 kinase A6
MAML1,mastermind like transcriptional coactivator 1
LMAN2,"lectin, mannose binding 2"
SERPINB7,serpin family B member 7
HAP1,huntingtin associated protein 1
A2M,alpha-2-macroglobulin
PLAA,phospholipase A2 activating protein
SEMG1,semenogelin 1
SF3B6,splicing factor 3b subunit 6
MYCBP2,MYC binding protein 2
MTTP,microsomal triglyceride transfer protein
RNF166,ring finger protein 166
PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
RPLP2,ribosomal protein lateral stalk subunit P2
DNAH7,dynein axonemal heavy chain 7
HLA-B,"major histocompatibility complex, class I, B"
HSPA6,heat shock protein family A (Hsp70) member 6
YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
RFC1,replication factor C subunit 1
COMMD1,copper metabolism domain containing 1
RPL13,ribosomal protein L13
IFNGR2,interferon gamma receptor 2
UBR2,ubiquitin protein ligase E3 component n-recognin 2
MAP3K3,mitogen-activated protein kinase kinase kinase 3
SH3GLB1,"SH3 domain containing GRB2 like, endophilin B1"
TP53,tumor protein p53
SF3B4,splicing factor 3b subunit 4
MID1,midline 1
ORC5,origin recognition complex subunit 5
GALE,UDP-galactose-4-epimerase
EGLN2,egl-9 family hypoxia inducible factor 2
CCDC146,coiled-coil domain containing 146
SPTA1,"spectrin alpha, erythrocytic 1"
IQCB1,IQ motif containing B1
IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta
UGDH,UDP-glucose 6-dehydrogenase
SP1,Sp1 transcription factor
MAF1,"MAF1 homolog, negative regulator of RNA polymerase III"
JKAMP,JNK1/MAPK8 associated membrane protein
MPP6,membrane palmitoylated protein 6
PCBP1,poly(rC) binding protein 1
COPA,COPI coat complex subunit alpha
CITED1,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
MYH10,myosin heavy chain 10
PRKX,protein kinase X-linked
SPTAN1,"spectrin alpha, non-erythrocytic 1"
RELA,"RELA proto-oncogene, NF-kB subunit"
SWAP70,switching B cell complex subunit SWAP70
AURKA,aurora kinase A
SEL1L,SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
ZNF865,zinc finger protein 865
SH3BP2,SH3 domain binding protein 2
GRB14,growth factor receptor bound protein 14
MSI1,musashi RNA binding protein 1
AMY1B,amylase alpha 1B
CST3,cystatin C
TRIM24,tripartite motif containing 24
DCPS,"decapping enzyme, scavenger"
CCDC50,coiled-coil domain containing 50
SERPINH1,serpin family H member 1
CAMK4,calcium/calmodulin dependent protein kinase IV
CCNT2,cyclin T2
PSEN1,presenilin 1
NUAK1,NUAK family kinase 1
NANOS1,nanos C2HC-type zinc finger 1
RPS21,ribosomal protein S21
UBE2I,ubiquitin conjugating enzyme E2 I
MAEA,macrophage erythroblast attacher
HMGB1,high mobility group box 1
NME2,NME/NM23 nucleoside diphosphate kinase 2
MIR19A,microRNA 19a
AFF4,AF4/FMR2 family member 4
LDHA,lactate dehydrogenase A
PAWR,pro-apoptotic WT1 regulator
TK1,thymidine kinase 1
ATP2B4,ATPase plasma membrane Ca2+ transporting 4
P3H1,prolyl 3-hydroxylase 1
MCUB,mitochondrial calcium uniporter dominant negative subunit beta
COLQ,collagen like tail subunit of asymmetric acetylcholinesterase
MIR199A1,microRNA 199a-1
PCDHGA3,"protocadherin gamma subfamily A, 3"
RNF128,ring finger protein 128
PRKACB,protein kinase cAMP-activated catalytic subunit beta
MDH1,malate dehydrogenase 1
REEP4,receptor accessory protein 4
FGF3,fibroblast growth factor 3
THADA,THADA armadillo repeat containing
TRIM45,tripartite motif containing 45
TMOD1,tropomodulin 1
EIF2B3,eukaryotic translation initiation factor 2B subunit gamma
KBTBD8,kelch repeat and BTB domain containing 8
KRT81,keratin 81
ECM1,extracellular matrix protein 1
NABP2,nucleic acid binding protein 2
TNS3,tensin 3
FLII,FLII actin remodeling protein
PRPSAP1,phosphoribosyl pyrophosphate synthetase associated protein 1
MDC1,mediator of DNA damage checkpoint 1
LMBR1,limb development membrane protein 1
YES1,"YES proto-oncogene 1, Src family tyrosine kinase"
FAM20B,FAM20B glycosaminoglycan xylosylkinase
U2AF1,U2 small nuclear RNA auxiliary factor 1
NOTCH4,notch receptor 4
CEBPZ,CCAAT enhancer binding protein zeta
RNF144A,ring finger protein 144A
SCAMP3,secretory carrier membrane protein 3
TUBB3,tubulin beta 3 class III
SUN2,Sad1 and UNC84 domain containing 2
SEC61A1,SEC61 translocon subunit alpha 1
CDH9,cadherin 9
TNFRSF1B,TNF receptor superfamily member 1B
SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
SPINT2,"serine peptidase inhibitor, Kunitz type 2"
USP37,ubiquitin specific peptidase 37
RPL31,ribosomal protein L31
CDKN2B,cyclin dependent kinase inhibitor 2B
PTGDS,prostaglandin D2 synthase
APCS,"amyloid P component, serum"
ARMCX5,armadillo repeat containing X-linked 5
SLC25A1,solute carrier family 25 member 1
CHRNA9,cholinergic receptor nicotinic alpha 9 subunit
VEZT,"vezatin, adherens junctions transmembrane protein"
MIR7-3,microRNA 7-3
GEMIN2,gem nuclear organelle associated protein 2
HACD3,3-hydroxyacyl-CoA dehydratase 3
BCL7A,BAF chromatin remodeling complex subunit BCL7A
DLG5,discs large MAGUK scaffold protein 5
HLA-DOB,"major histocompatibility complex, class II, DO beta"
LRIF1,ligand dependent nuclear receptor interacting factor 1
NPRL3,"NPR3 like, GATOR1 complex subunit"
SH3KBP1,SH3 domain containing kinase binding protein 1
YIF1B,"Yip1 interacting factor homolog B, membrane trafficking protein"
SKIV2L,Ski2 like RNA helicase
MEFV,"MEFV innate immuity regulator, pyrin"
RGS4,regulator of G protein signaling 4
TRIO,trio Rho guanine nucleotide exchange factor
REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit"
IL1RAP,interleukin 1 receptor accessory protein
NUDT14,nudix hydrolase 14
UBE3A,ubiquitin protein ligase E3A
PABPC1,poly(A) binding protein cytoplasmic 1
DKK2,dickkopf WNT signaling pathway inhibitor 2
XRCC4,X-ray repair cross complementing 4
CSNK1G3,casein kinase 1 gamma 3
TCOF1,treacle ribosome biogenesis factor 1
PARK7,Parkinsonism associated deglycase
KMT2B,lysine methyltransferase 2B
MIA2,MIA SH3 domain ER export factor 2
DNAAF5,dynein axonemal assembly factor 5
ZFP36,ZFP36 ring finger protein
HBB,hemoglobin subunit beta
HSCB,HscB mitochondrial iron-sulfur cluster cochaperone
USP20,ubiquitin specific peptidase 20
CCDC107,coiled-coil domain containing 107
CRP,C-reactive protein
SNX4,sorting nexin 4
RSRC2,arginine and serine rich coiled-coil 2
MAP3K21,mitogen-activated protein kinase kinase kinase 21
SLC33A1,solute carrier family 33 member 1
CST4,cystatin S
BCR,BCR activator of RhoGEF and GTPase
JDP2,Jun dimerization protein 2
TRIM28,tripartite motif containing 28
PNKD,PNKD metallo-beta-lactamase domain containing
L3MBTL2,L3MBTL histone methyl-lysine binding protein 2
STMN1,stathmin 1
KLF9,Kruppel like factor 9
CKB,creatine kinase B
TTC33,tetratricopeptide repeat domain 33
PSMD2,"proteasome 26S subunit, non-ATPase 2"
FBXL12,F-box and leucine rich repeat protein 12
SLC2A1,solute carrier family 2 member 1
PARVG,parvin gamma
IL4,interleukin 4
RBM23,RNA binding motif protein 23
PTPN9,protein tyrosine phosphatase non-receptor type 9
SSR1,signal sequence receptor subunit 1
GNAI3,G protein subunit alpha i3
POLD2,"DNA polymerase delta 2, accessory subunit"
PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
MPHOSPH6,M-phase phosphoprotein 6
CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial"
KPNA1,karyopherin subunit alpha 1
CCDC60,coiled-coil domain containing 60
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1
COMT,catechol-O-methyltransferase
NRBP1,nuclear receptor binding protein 1
TBX5,T-box transcription factor 5
UCHL5,ubiquitin C-terminal hydrolase L5
CKS2,CDC28 protein kinase regulatory subunit 2
ZNF414,zinc finger protein 414
COG1,component of oligomeric golgi complex 1
PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B"
ITIH1,inter-alpha-trypsin inhibitor heavy chain 1
FOXA1,forkhead box A1
FGF2,fibroblast growth factor 2
UBE2S,ubiquitin conjugating enzyme E2 S
CALML5,calmodulin like 5
GNL3L,G protein nucleolar 3 like
DHX16,DEAH-box helicase 16
ITGB7,integrin subunit beta 7
VPS35,VPS35 retromer complex component
SLC13A5,solute carrier family 13 member 5
CORO1A,coronin 1A
GNAZ,G protein subunit alpha z
SNU13,small nuclear ribonucleoprotein 13
MIR20A,microRNA 20a
RCC2,regulator of chromosome condensation 2
CAND2,cullin associated and neddylation dissociated 2 (putative)
ZBTB8A,zinc finger and BTB domain containing 8A
IGKV2-40,immunoglobulin kappa variable 2-40
ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2
SF3B3,splicing factor 3b subunit 3
KPNB1,karyopherin subunit beta 1
DNAJC11,DnaJ heat shock protein family (Hsp40) member C11
NPR1,natriuretic peptide receptor 1
ETV7,ETS variant transcription factor 7
TERF1,telomeric repeat binding factor 1
CDK15,cyclin dependent kinase 15
SLC9A9,solute carrier family 9 member A9
RPL26L1,ribosomal protein L26 like 1
PPIG,peptidylprolyl isomerase G
FBL,fibrillarin
HEATR3,HEAT repeat containing 3
POT1,protection of telomeres 1
CDK7,cyclin dependent kinase 7
SMS,spermine synthase
IGKV2D-40,immunoglobulin kappa variable 2D-40
RNASEH2B,ribonuclease H2 subunit B
GCKR,glucokinase regulator
IL3,interleukin 3
LAP3,leucine aminopeptidase 3
PZP,PZP alpha-2-macroglobulin like
CHRAC1,chromatin accessibility complex subunit 1
GATA1,GATA binding protein 1
TFG,trafficking from ER to golgi regulator
USP33,ubiquitin specific peptidase 33
GNG4,G protein subunit gamma 4
EIF3L,eukaryotic translation initiation factor 3 subunit L
HNRNPD,heterogeneous nuclear ribonucleoprotein D
ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
SMAD2,SMAD family member 2
SERTAD3,SERTA domain containing 3
FOXS1,forkhead box S1
DOK6,docking protein 6
ERGIC3,ERGIC and golgi 3
EIF3J,eukaryotic translation initiation factor 3 subunit J
ANXA7,annexin A7
SPSB1,splA/ryanodine receptor domain and SOCS box containing 1
MSH2,mutS homolog 2
ATP6V1F,ATPase H+ transporting V1 subunit F
SRRM2,serine/arginine repetitive matrix 2
NPM3,nucleophosmin/nucleoplasmin 3
TOB1,"transducer of ERBB2, 1"
SART3,"spliceosome associated factor 3, U4/U6 recycling protein"
UBE2J1,ubiquitin conjugating enzyme E2 J1
ARHGAP32,Rho GTPase activating protein 32
PARP3,poly(ADP-ribose) polymerase family member 3
ANKRD13D,ankyrin repeat domain 13D
AHRR,aryl-hydrocarbon receptor repressor
C12orf49,chromosome 12 open reading frame 49
APOBEC3D,apolipoprotein B mRNA editing enzyme catalytic subunit 3D
NAT2,N-acetyltransferase 2
CEP128,centrosomal protein 128
MUC1,"mucin 1, cell surface associated"
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
TGM3,transglutaminase 3
UMPS,uridine monophosphate synthetase
TXNIP,thioredoxin interacting protein
PSD3,pleckstrin and Sec7 domain containing 3
LARP4,La ribonucleoprotein 4
IL4R,interleukin 4 receptor
LIPH,lipase H
IQGAP1,IQ motif containing GTPase activating protein 1
UBASH3B,ubiquitin associated and SH3 domain containing B
BAG3,BAG cochaperone 3
LTA,lymphotoxin alpha
JOSD2,Josephin domain containing 2
CIZ1,CDKN1A interacting zinc finger protein 1
NUFIP1,nuclear FMR1 interacting protein 1
TTK,TTK protein kinase
CTSG,cathepsin G
CYP26A1,cytochrome P450 family 26 subfamily A member 1
PPHLN1,periphilin 1
MTMR8,myotubularin related protein 8
NSMCE2,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase"
MRPS9,mitochondrial ribosomal protein S9
MRPS18B,mitochondrial ribosomal protein S18B
GTF3C2,general transcription factor IIIC subunit 2
MASP2,mannan binding lectin serine peptidase 2
AMY1A,amylase alpha 1A
CD74,CD74 molecule
CSF1R,colony stimulating factor 1 receptor
TRAPPC5,trafficking protein particle complex 5
ZBTB2,zinc finger and BTB domain containing 2
EXT2,exostosin glycosyltransferase 2
IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
DUSP13,dual specificity phosphatase 13
RPS3A,ribosomal protein S3A
GPT2,glutamic--pyruvic transaminase 2
ANP32B,acidic nuclear phosphoprotein 32 family member B
FOXO3,forkhead box O3
YEATS4,YEATS domain containing 4
WBP2,WW domain binding protein 2
ACTN2,actinin alpha 2
ZNF324,zinc finger protein 324
SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
CSTA,cystatin A
MIR363,microRNA 363
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
CD81,CD81 molecule
LATS1,large tumor suppressor kinase 1
BUB1,BUB1 mitotic checkpoint serine/threonine kinase
CCT4,chaperonin containing TCP1 subunit 4
NCF4,neutrophil cytosolic factor 4
TREML2,triggering receptor expressed on myeloid cells like 2
CTSV,cathepsin V
NCK2,NCK adaptor protein 2
NFATC2,nuclear factor of activated T cells 2
HSPA9,heat shock protein family A (Hsp70) member 9
ZC3H18,zinc finger CCCH-type containing 18
APOLD1,apolipoprotein L domain containing 1
SLC39A9,solute carrier family 39 member 9
HAL,histidine ammonia-lyase
DVL3,dishevelled segment polarity protein 3
TNNT1,"troponin T1, slow skeletal type"
LGALS1,galectin 1
SSX2IP,SSX family member 2 interacting protein
SERPINA1,serpin family A member 1
MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
PSMG1,proteasome assembly chaperone 1
CPSF7,cleavage and polyadenylation specific factor 7
LAMC1,laminin subunit gamma 1
BCAP31,B cell receptor associated protein 31
TMX1,thioredoxin related transmembrane protein 1
SP110,SP110 nuclear body protein
PLEKHA7,pleckstrin homology domain containing A7
LCA5L,lebercilin LCA5 like
TUBGCP3,tubulin gamma complex associated protein 3
RAB9A,"RAB9A, member RAS oncogene family"
UCHL1,ubiquitin C-terminal hydrolase L1
SOCS6,suppressor of cytokine signaling 6
MAP7D1,MAP7 domain containing 1
KRTAP10-7,keratin associated protein 10-7
CFAP97,cilia and flagella associated protein 97
ACVR1,activin A receptor type 1
BOD1L1,biorientation of chromosomes in cell division 1 like 1
ZKSCAN4,zinc finger with KRAB and SCAN domains 4
RACK1,receptor for activated C kinase 1
FRS2,fibroblast growth factor receptor substrate 2
UNC45A,unc-45 myosin chaperone A
KLF5,Kruppel like factor 5
VRK1,VRK serine/threonine kinase 1
GHR,growth hormone receptor
SEC13,"SEC13 homolog, nuclear pore and COPII coat complex component"
CTNNA2,catenin alpha 2
RPS25,ribosomal protein S25
IRS1,insulin receptor substrate 1
TYRP1,tyrosinase related protein 1
CD40,CD40 molecule
CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3
APBB3,amyloid beta precursor protein binding family B member 3
DIS3,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease"
FKBP5,FKBP prolyl isomerase 5
NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1
DKKL1,dickkopf like acrosomal protein 1
HTRA2,HtrA serine peptidase 2
PSMD8,"proteasome 26S subunit, non-ATPase 8"
PSTPIP1,proline-serine-threonine phosphatase interacting protein 1
ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
PIANP,PILR alpha associated neural protein
ALDH5A1,aldehyde dehydrogenase 5 family member A1
MED25,mediator complex subunit 25
FKBPL,FKBP prolyl isomerase like
NDUFA2,NADH:ubiquinone oxidoreductase subunit A2
DPH1,diphthamide biosynthesis 1
RPGRIP1L,RPGRIP1 like
GK2,glycerol kinase 2
DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1
ZSCAN31,zinc finger and SCAN domain containing 31
RGS16,regulator of G protein signaling 16
PDCL,phosducin like
MCF2L2,MCF.2 cell line derived transforming sequence-like 2
IDE,insulin degrading enzyme
CALCOCO1,calcium binding and coiled-coil domain 1
ELOC,elongin C
FLT1,fms related receptor tyrosine kinase 1
DLGAP1,DLG associated protein 1
CLIC5,chloride intracellular channel 5
GRB2,growth factor receptor bound protein 2
PYCR2,pyrroline-5-carboxylate reductase 2
TRMO,tRNA methyltransferase O
RWDD1,RWD domain containing 1
CEACAM1,CEA cell adhesion molecule 1
PPIA,peptidylprolyl isomerase A
BBS10,Bardet-Biedl syndrome 10
NMT1,N-myristoyltransferase 1
UNC80,"unc-80 homolog, NALCN channel complex subunit"
IMPDH2,inosine monophosphate dehydrogenase 2
APOB,apolipoprotein B
EXOC5,exocyst complex component 5
SSRP1,structure specific recognition protein 1
HR,HR lysine demethylase and nuclear receptor corepressor
RPS27L,ribosomal protein S27 like
UBQLN2,ubiquilin 2
TRIM16,tripartite motif containing 16
EPDR1,ependymin related 1
VPS37C,VPS37C subunit of ESCRT-I
IKZF2,IKAROS family zinc finger 2
ZNF316,zinc finger protein 316
TMBIM6,transmembrane BAX inhibitor motif containing 6
EEF1G,eukaryotic translation elongation factor 1 gamma
MRPS23,mitochondrial ribosomal protein S23
TICAM2,toll like receptor adaptor molecule 2
ZFP90,ZFP90 zinc finger protein
CDK1,cyclin dependent kinase 1
NIN,ninein
CDC27,cell division cycle 27
C4A,complement C4A (Rodgers blood group)
CSE1L,chromosome segregation 1 like
SDCBP,syndecan binding protein
SIRT7,sirtuin 7
RPS10,ribosomal protein S10
SENP3,SUMO specific peptidase 3
DAB2,DAB adaptor protein 2
ESCO1,establishment of sister chromatid cohesion N-acetyltransferase 1
COPE,COPI coat complex subunit epsilon
PDZK1,PDZ domain containing 1
PRDM2,PR/SET domain 2
TCF7,transcription factor 7
KLC2,kinesin light chain 2
KRT5,keratin 5
MAP3K12,mitogen-activated protein kinase kinase kinase 12
USP53,ubiquitin specific peptidase 53
CCT6A,chaperonin containing TCP1 subunit 6A
HNRNPC,heterogeneous nuclear ribonucleoprotein C
PUS1,pseudouridine synthase 1
CALD1,caldesmon 1
KIF13B,kinesin family member 13B
CDH2,cadherin 2
RUVBL1,RuvB like AAA ATPase 1
PI4KA,phosphatidylinositol 4-kinase alpha
NAV1,neuron navigator 1
CDC42,cell division cycle 42
HYAL4,hyaluronidase 4
IL1RN,interleukin 1 receptor antagonist
